date,state,fips,cases,deaths,daily_cases,daily_deaths
2020-12-31,Alabama,1,361226,4827,-1,-1
2020-12-31,Alaska,2,46740,198,-1,-1
2020-12-31,Arizona,4,523829,8879,-1,-1
2020-12-31,Arkansas,5,225138,3676,-1,-1
2020-12-31,California,6,2307860,25965,-1,-1
2020-12-31,Colorado,8,335579,4879,-1,-1
2020-12-31,Connecticut,9,185708,5995,-1,-1
2020-12-31,Delaware,10,57456,926,-1,-1
2020-12-31,District of Columbia,11,28983,786,-1,-1
2020-12-31,Florida,12,1323307,21672,-1,-1
2020-12-31,Georgia,13,644065,10588,-1,-1
2020-12-31,Hawaii,15,21459,286,-1,-1
2020-12-31,Idaho,16,141388,1438,-1,-1
2020-12-31,Illinois,17,965840,17979,-1,-1
2020-12-31,Indiana,18,514455,8263,-1,-1
2020-12-31,Iowa,19,281712,3891,-1,-1
2020-12-31,Kansas,20,225455,2741,-1,-1
2020-12-31,Kentucky,21,268828,2956,-1,-1
2020-12-31,Louisiana,22,315275,7488,-1,-1
2020-12-31,Maine,23,24201,347,-1,-1
2020-12-31,Maryland,24,276834,5895,-1,-1
2020-12-31,Massachusetts,25,375178,12423,-1,-1
2020-12-31,Michigan,26,526668,13010,-1,-1
2020-12-31,Minnesota,27,415361,5382,-1,-1
2020-12-31,Mississippi,28,215811,4787,-1,-1
2020-12-31,Missouri,29,418637,5887,-1,-1
2020-12-31,Montana,30,81701,962,-1,-1
2020-12-31,Nebraska,31,167795,1690,-1,-1
2020-12-31,Nevada,32,225165,3136,-1,-1
2020-12-31,New Hampshire,33,44028,759,-1,-1
2020-12-31,New Jersey,34,479381,19042,-1,-1
2020-12-31,New Mexico,35,142897,2479,-1,-1
2020-12-31,New York,36,979040,37557,-1,-1
2020-12-31,North Carolina,37,541070,6811,-1,-1
2020-12-31,North Dakota,38,92502,1299,-1,-1
2020-12-31,Ohio,39,700380,8962,-1,-1
2020-12-31,Oklahoma,40,290936,2489,-1,-1
2020-12-31,Oregon,41,113929,1485,-1,-1
2020-12-31,Pennsylvania,42,646060,16020,-1,-1
2020-12-31,Puerto Rico,72,109906,1503,-1,-1
2020-12-31,Rhode Island,44,87949,1777,-1,-1
2020-12-31,South Carolina,45,307507,5296,-1,-1
2020-12-31,South Dakota,46,99164,1488,-1,-1
2020-12-31,Tennessee,47,572579,6846,-1,-1
2020-12-31,Texas,48,1770527,28155,-1,-1
2020-12-31,Utah,49,276612,1270,-1,-1
2020-12-31,Vermont,50,7412,136,-1,-1
2020-12-31,Virginia,51,349584,5032,-1,-1
2020-12-31,Washington,53,251064,3523,-1,-1
2020-12-31,West Virginia,54,85334,1338,-1,-1
2020-12-31,Wisconsin,55,520438,5245,-1,-1
2020-12-31,Wyoming,56,44409,438,-1,-1
2021-01-01,Alabama,1,365747,4872,4521,45
2021-01-01,Alaska,2,46740,198,0,0
2021-01-01,Arizona,4,530267,9015,6438,136
2021-01-01,Arkansas,5,229442,3711,4304,35
2021-01-01,California,6,2345811,26236,37951,271
2021-01-01,Colorado,8,338357,4936,2778,57
2021-01-01,Connecticut,9,185708,5995,0,0
2021-01-01,Delaware,10,58064,930,608,4
2021-01-01,District of Columbia,11,29252,788,269,2
2021-01-01,Florida,12,1323307,21672,0,0
2021-01-01,Georgia,13,654950,10610,10885,22
2021-01-01,Hawaii,15,21736,287,277,1
2021-01-01,Idaho,16,141388,1438,0,0
2021-01-01,Illinois,17,966287,17979,447,0
2021-01-01,Indiana,18,520750,8371,6295,108
2021-01-01,Iowa,19,282980,3898,1268,7
2021-01-01,Kansas,20,230352,2879,4897,138
2021-01-01,Kentucky,21,269470,2956,642,0
2021-01-01,Louisiana,22,315275,7488,0,0
2021-01-01,Maine,23,24201,347,0,0
2021-01-01,Maryland,24,280387,5942,3553,47
2021-01-01,Massachusetts,25,375178,12423,0,0
2021-01-01,Michigan,26,526845,13011,177,1
2021-01-01,Minnesota,27,415361,5382,0,0
2021-01-01,Mississippi,28,218386,4816,2575,29
2021-01-01,Missouri,29,421217,5906,2580,19
2021-01-01,Montana,30,81701,962,0,0
2021-01-01,Nebraska,31,168567,1707,772,17
2021-01-01,Nevada,32,227046,3146,1881,10
2021-01-01,New Hampshire,33,44028,759,0,0
2021-01-01,New Jersey,34,484882,19160,5501,118
2021-01-01,New Mexico,35,144142,2504,1245,25
2021-01-01,New York,36,996073,37733,17033,176
2021-01-01,North Carolina,37,543976,6819,2906,8
2021-01-01,North Dakota,38,92777,1316,275,17
2021-01-01,Ohio,39,700380,8962,0,0
2021-01-01,Oklahoma,40,290936,2489,0,0
2021-01-01,Oregon,41,115377,1501,1448,16
2021-01-01,Pennsylvania,42,652952,16247,6892,227
2021-01-01,Puerto Rico,72,110669,1521,763,18
2021-01-01,Rhode Island,44,87949,1777,0,0
2021-01-01,South Carolina,45,307507,5296,0,0
2021-01-01,South Dakota,46,99164,1488,0,0
2021-01-01,Tennessee,47,572579,6846,0,0
2021-01-01,Texas,48,1778306,28434,7779,279
2021-01-01,Utah,49,276612,1273,0,3
2021-01-01,Vermont,50,7412,136,0,0
2021-01-01,Virginia,51,354766,5081,5182,49
2021-01-01,Washington,53,251585,3523,521,0
2021-01-01,West Virginia,54,87820,1361,2486,23
2021-01-01,Wisconsin,55,522523,5257,2085,12
2021-01-01,Wyoming,56,44409,438,0,0
2021-01-02,Alabama,1,369458,4872,3711,0
2021-01-02,Alaska,2,47549,207,809,9
2021-01-02,Arizona,4,539162,9061,8895,46
2021-01-02,Arkansas,5,231442,3729,2000,18
2021-01-02,California,6,2398005,26542,52194,306
2021-01-02,Colorado,8,340454,4976,2097,40
2021-01-02,Connecticut,9,190120,6099,4412,104
2021-01-02,Delaware,10,58873,930,809,0
2021-01-02,District of Columbia,11,29509,792,257,4
2021-01-02,Florida,12,1354825,21889,31518,217
2021-01-02,Georgia,13,662077,10612,7127,2
2021-01-02,Hawaii,15,21895,287,159,0
2021-01-02,Idaho,16,142290,1451,902,13
2021-01-02,Illinois,17,977677,18217,11390,238
2021-01-02,Indiana,18,526065,8410,5315,39
2021-01-02,Iowa,19,283895,3946,915,48
2021-01-02,Kansas,20,230352,2879,0,0
2021-01-02,Kentucky,21,275803,2999,6333,43
2021-01-02,Louisiana,22,315275,7488,0,0
2021-01-02,Maine,23,25245,358,1044,11
2021-01-02,Maryland,24,283339,5967,2952,25
2021-01-02,Massachusetts,25,384181,12502,9003,79
2021-01-02,Michigan,26,535355,13296,8510,285
2021-01-02,Minnesota,27,417891,5436,2530,54
2021-01-02,Mississippi,28,220277,4840,1891,24
2021-01-02,Missouri,29,423894,5910,2677,4
2021-01-02,Montana,30,81991,971,290,9
2021-01-02,Nebraska,31,169330,1708,763,1
2021-01-02,Nevada,32,229601,3158,2555,12
2021-01-02,New Hampshire,33,45184,769,1156,10
2021-01-02,New Jersey,34,490393,19187,5511,27
2021-01-02,New Mexico,35,145379,2536,1237,32
2021-01-02,New York,36,1011922,37854,15849,121
2021-01-02,North Carolina,37,559942,6933,15966,114
2021-01-02,North Dakota,38,92898,1317,121,1
2021-01-02,Ohio,39,714673,9017,14293,55
2021-01-02,Oklahoma,40,296055,2527,5119,38
2021-01-02,Oregon,41,116348,1503,971,2
2021-01-02,Pennsylvania,42,661731,16270,8779,23
2021-01-02,Puerto Rico,72,111547,1526,878,5
2021-01-02,Rhode Island,44,87949,1777,0,0
2021-01-02,South Carolina,45,312718,5385,5211,89
2021-01-02,South Dakota,46,99829,1501,665,13
2021-01-02,Tennessee,47,589406,6908,16827,62
2021-01-02,Texas,48,1792363,28508,14057,74
2021-01-02,Utah,49,281747,1294,5135,21
2021-01-02,Vermont,50,7689,139,277,3
2021-01-02,Virginia,51,358755,5117,3989,36
2021-01-02,Washington,53,253290,3524,1705,1
2021-01-02,West Virginia,54,89327,1373,1507,12
2021-01-02,Wisconsin,55,523652,5259,1129,2
2021-01-02,Wyoming,56,44573,438,164,0
2021-01-03,Alabama,1,371934,4873,2476,1
2021-01-03,Alaska,2,47846,207,297,0
2021-01-03,Arizona,4,556384,9061,17222,0
2021-01-03,Arkansas,5,233475,3749,2033,20
2021-01-03,California,6,2433916,26635,35911,93
2021-01-03,Colorado,8,342494,4997,2040,21
2021-01-03,Connecticut,9,190120,6099,0,0
2021-01-03,Delaware,10,59484,930,611,0
2021-01-03,District of Columbia,11,29764,794,255,2
2021-01-03,Florida,12,1365428,21986,10603,97
2021-01-03,Georgia,13,667705,10616,5628,4
2021-01-03,Hawaii,15,22017,287,122,0
2021-01-03,Idaho,16,142568,1451,278,0
2021-01-03,Illinois,17,982105,18322,4428,105
2021-01-03,Indiana,18,529054,8475,2989,65
2021-01-03,Iowa,19,284715,3946,820,0
2021-01-03,Kansas,20,230352,2879,0,0
2021-01-03,Kentucky,21,278478,3013,2675,14
2021-01-03,Louisiana,22,321058,7537,5783,49
2021-01-03,Maine,23,25592,359,347,1
2021-01-03,Maryland,24,285487,5994,2148,27
2021-01-03,Massachusetts,25,387662,12610,3481,108
2021-01-03,Michigan,26,535582,13296,227,0
2021-01-03,Minnesota,27,420603,5489,2712,53
2021-01-03,Mississippi,28,222061,4871,1784,31
2021-01-03,Missouri,29,426489,5928,2595,18
2021-01-03,Montana,30,82381,972,390,1
2021-01-03,Nebraska,31,170037,1708,707,0
2021-01-03,Nevada,32,231869,3195,2268,37
2021-01-03,New Hampshire,33,46450,780,1266,11
2021-01-03,New Jersey,34,494063,19208,3670,21
2021-01-03,New Mexico,35,146394,2553,1015,17
2021-01-03,New York,36,1024154,38001,12232,147
2021-01-03,North Carolina,37,565260,6963,5318,30
2021-01-03,North Dakota,38,93048,1317,150,0
2021-01-03,Ohio,39,721481,9076,6808,59
2021-01-03,Oklahoma,40,304072,2547,8017,20
2021-01-03,Oregon,41,117745,1510,1397,7
2021-01-03,Pennsylvania,42,666207,16324,4476,54
2021-01-03,Puerto Rico,72,111784,1545,237,19
2021-01-03,Rhode Island,44,87949,1777,0,0
2021-01-03,South Carolina,45,321669,5469,8951,84
2021-01-03,South Dakota,46,100532,1513,703,12
2021-01-03,Tennessee,47,593363,6962,3957,54
2021-01-03,Texas,48,1808382,28554,16019,46
2021-01-03,Utah,49,283473,1301,1726,7
2021-01-03,Vermont,50,7793,140,104,1
2021-01-03,Virginia,51,363765,5124,5010,7
2021-01-03,Washington,53,258557,3524,5267,0
2021-01-03,West Virginia,54,91058,1376,1731,3
2021-01-03,Wisconsin,55,526245,5264,2593,5
2021-01-03,Wyoming,56,44875,438,302,0
2021-01-04,Alabama,1,374095,4878,2161,5
2021-01-04,Alaska,2,48110,209,264,2
2021-01-04,Arizona,4,561542,9064,5158,3
2021-01-04,Arkansas,5,234781,3800,1306,51
2021-01-04,California,6,2474639,26995,40723,360
2021-01-04,Colorado,8,345239,5011,2745,14
2021-01-04,Connecticut,9,194636,6168,4516,69
2021-01-04,Delaware,10,60333,937,849,7
2021-01-04,District of Columbia,11,29904,797,140,3
2021-01-04,Florida,12,1376684,22089,11256,103
2021-01-04,Georgia,13,672849,10623,5144,7
2021-01-04,Hawaii,15,22092,287,75,0
2021-01-04,Idaho,16,143833,1462,1265,11
2021-01-04,Illinois,17,987459,18414,5354,92
2021-01-04,Indiana,18,532671,8514,3617,39
2021-01-04,Iowa,19,286356,3992,1641,46
2021-01-04,Kansas,20,234390,2897,4038,18
2021-01-04,Kentucky,21,282097,3067,3619,54
2021-01-04,Louisiana,22,322181,7585,1123,48
2021-01-04,Maine,23,25968,360,376,1
2021-01-04,Maryland,24,287970,6027,2483,33
2021-01-04,Massachusetts,25,392582,12669,4920,59
2021-01-04,Michigan,26,541158,13381,5576,85
2021-01-04,Minnesota,27,423747,5502,3144,13
2021-01-04,Mississippi,28,223677,4884,1616,13
2021-01-04,Missouri,29,429745,5941,3256,13
2021-01-04,Montana,30,82753,975,372,3
2021-01-04,Nebraska,31,170778,1727,741,19
2021-01-04,Nevada,32,233324,3209,1455,14
2021-01-04,New Hampshire,33,47328,781,878,1
2021-01-04,New Jersey,34,545155,19244,51092,36
2021-01-04,New Mexico,35,147315,2576,921,23
2021-01-04,New York,36,1035396,38167,11242,166
2021-01-04,North Carolina,37,572018,7000,6758,37
2021-01-04,North Dakota,38,93247,1319,199,2
2021-01-04,Ohio,39,727423,9143,5942,67
2021-01-04,Oklahoma,40,306771,2552,2699,5
2021-01-04,Oregon,41,118473,1517,728,7
2021-01-04,Pennsylvania,42,670769,16394,4562,70
2021-01-04,Puerto Rico,72,112420,1555,636,10
2021-01-04,Rhode Island,44,92708,1855,4759,78
2021-01-04,South Carolina,45,325472,5484,3803,15
2021-01-04,South Dakota,46,100643,1513,111,0
2021-01-04,Tennessee,47,597201,7101,3838,139
2021-01-04,Texas,48,1831486,28681,23104,127
2021-01-04,Utah,49,285633,1307,2160,6
2021-01-04,Vermont,50,7873,144,80,4
2021-01-04,Virginia,51,367536,5132,3771,8
2021-01-04,Washington,53,261328,3558,2771,34
2021-01-04,West Virginia,54,91886,1396,828,20
2021-01-04,Wisconsin,55,527871,5273,1626,9
2021-01-04,Wyoming,56,45247,438,372,0
2021-01-05,Alabama,1,379593,4886,5498,8
2021-01-05,Alaska,2,48302,209,192,0
2021-01-05,Arizona,4,571676,9354,10134,290
2021-01-05,Arkansas,5,238888,3836,4107,36
2021-01-05,California,6,2511923,27486,37284,491
2021-01-05,Colorado,8,348483,5058,3244,47
2021-01-05,Connecticut,9,196968,6192,2332,24
2021-01-05,Delaware,10,61100,947,767,10
2021-01-05,District of Columbia,11,30166,801,262,4
2021-01-05,Florida,12,1392115,22187,15431,98
2021-01-05,Georgia,13,682749,10725,9900,102
2021-01-05,Hawaii,15,22199,287,107,0
2021-01-05,Idaho,16,145134,1474,1301,12
2021-01-05,Illinois,17,994511,18569,7052,155
2021-01-05,Indiana,18,536084,8663,3413,149
2021-01-05,Iowa,19,288298,3999,1942,7
